,location,continent,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,population,latitude,longitude
0,Afghanistan,Asia,155072,3892.816,7200,180.744,39835428,33.93911,67.709953
1,Albania,Europe,168188,58542.243,2653,923.446,2872934,41.153332,20.168331
2,Algeria,Africa,202877,4547.117,5786,129.683,44616626,28.033886,1.659626
3,Andorra,Europe,15189,196357.008,130,1680.585,77354,42.546245,1.601554
4,Angola,Africa,55583,1637.992,1513,44.587,33933611,-11.202692,17.873887
5,Anguilla,North America,,,,,15125,18.220554,-63.068615
6,Antigua and Barbuda,North America,2923,29606.596,64,648.246,98728,17.060816,-61.796428
7,Argentina,South America,5251940,115159.417,114954,2520.599,45605823,-38.416097,-63.616672
8,Armenia,Asia,259007,87262.746,5264,1773.508,2968128,40.069099,45.038189
9,Aruba,North America,,,,,107195,12.52111,-69.968338
10,Australia,Oceania,100911,3913.066,1256,48.704,25788217,-25.274398,133.775136
11,Austria,Europe,737202,81521.191,10976,1213.747,9043072,47.516231,14.550072
12,Azerbaijan,Asia,481401,47088.409,6476,633.452,10223344,40.143105,47.576927
13,Bahamas,North America,20775,52341.313,523,1317.666,396914,25.03428,-77.39628
14,Bahrain,Asia,274877,157225.754,1389,794.488,1748295,25.930414,50.637772
15,Bangladesh,Asia,1552563,9335.721,27439,164.994,166303494,23.684994,90.356331
16,Barbados,North America,7764,26985.694,68,236.351,287708,13.193887,-59.543198
17,Belarus,Europe,532149,56354.601,4102,434.402,9442867,53.709807,27.953389
18,Belgium,Europe,1238358,106458.257,25568,2198.011,11632334,50.503887,4.469936
19,Belize,North America,19945,49257.252,405,1000.21,404915,17.189877,-88.49765
20,Benin,Africa,22958,1843.863,154,12.368,12451031,9.30769,2.315834
21,Bermuda,North America,,,,,62092,32.321384,-64.75737
22,Bhutan,Asia,2599,3332.479,3,3.847,779900,27.514162,90.433601
23,Bolivia,South America,499202,42187.501,18707,1580.926,11832936,-16.290154,-63.588653
24,Bonaire,North America,,,,,26445,,
25,Bosnia and Herz.,Europe,232237,71162.837,10508,3219.896,3263459,43.915886,17.679076
26,Botswana,Africa,178050,74272.914,2367,987.385,2397240,-22.328474,24.684866
27,Brazil,South America,21366395,99846.028,594653,2778.838,213993441,-14.235004,-51.92528
28,British Virgin Islands,North America,,,,,30423,18.420695,-64.639968
29,Brunei,Asia,6700,15174.438,38,86.064,441532,4.535277,114.727669
30,Bulgaria,Europe,495397,71831.489,20638,2992.465,6896655,42.733883,25.48583
31,Burkina Faso,Africa,14183,659.764,181,8.42,21497097,12.238333,-1.561593
32,Burundi,Africa,16356,1334.592,38,3.101,12255429,-3.373056,29.918886
33,Cambodia,Asia,109926,6486.67,2261,133.42,16946446,12.565679,104.990963
34,Cameroon,Africa,85414,3137.422,1368,50.249,27224262,7.369722,12.354722
35,Canada,North America,1620537,42569.631,27751,728.987,38067913,56.130366,-106.346771
36,Cape Verde,Africa,37472,66687.904,336,597.97,561901,16.002082,-24.013197
37,Cayman Islands,North America,,,,,66498,19.513469,-80.566956
38,Central African Rep.,Africa,11371,2311.185,100,20.325,4919987,6.611111,20.939444
39,Chad,Africa,5034,297.606,174,10.287,16914985,15.454166,18.732207
40,Chile,South America,1652364,86005.25,37445,1949.006,19212362,-35.675147,-71.542969
41,China,Asia,96148,66.575,4639,3.212,1444216102,35.86166,104.195397
42,Colombia,South America,4952690,96607.993,126178,2461.249,51265841,4.570868,-74.297333
43,Comoros,Africa,4128,4646.263,147,165.456,888456,-11.875001,43.872219
44,Congo,Africa,14244,2517.935,193,34.117,5657017,-0.228021,15.827659
45,Cook Islands,Oceania,,,,,17572,-21.236736,-159.777671
