,country,vaccine,total_vaccinations,overall_total_vaccinations,percentage
0,Austria,Johnson&Johnson,278165,10262644,0.027104614
1,Austria,Moderna,1016442,10262644,0.099042898
2,Austria,Oxford/AstraZeneca,1595561,10262644,0.155472703
3,Austria,Pfizer/BioNTech,7372476,10262644,0.718379786
4,Belgium,Johnson&Johnson,353159,15253553,0.023152573
5,Belgium,Moderna,1315014,15253553,0.086210341
6,Belgium,Oxford/AstraZeneca,2828269,15253553,0.185417063
7,Belgium,Pfizer/BioNTech,10757111,15253553,0.705220023
8,Bulgaria,Johnson&Johnson,161596,2353976,0.068648109
9,Bulgaria,Moderna,285738,2353976,0.121385265
10,Bulgaria,Oxford/AstraZeneca,477825,2353976,0.202986352
11,Bulgaria,Pfizer/BioNTech,1428817,2353976,0.606980275
12,Chile,CanSino,555766,27808106,0.019985755
13,Chile,Oxford/AstraZeneca,496012,27808106,0.017836957
14,Chile,Pfizer/BioNTech,7242695,27808106,0.260452654
15,Chile,Sinovac,19513633,27808106,0.701724634
16,Croatia,Johnson&Johnson,74878,3283918,0.022801422
17,Croatia,Moderna,318127,3283918,0.096874222
18,Croatia,Oxford/AstraZeneca,548300,3283918,0.166965192
19,Croatia,Pfizer/BioNTech,2342613,3283918,0.713359164
20,Cyprus,Johnson&Johnson,20003,1087647,0.018391077
21,Cyprus,Moderna,83830,1087647,0.077074639
22,Cyprus,Oxford/AstraZeneca,252533,1087647,0.232182868
23,Cyprus,Pfizer/BioNTech,731281,1087647,0.672351415
24,Czechia,Johnson&Johnson,214581,11630850,0.018449296
25,Czechia,Moderna,906362,11630850,0.077927409
26,Czechia,Oxford/AstraZeneca,879548,11630850,0.075621988
27,Czechia,Pfizer/BioNTech,9630359,11630850,0.828001307
28,Denmark,Johnson&Johnson,48227,8206987,0.005876334
29,Denmark,Moderna,1142701,8206987,0.139235142
30,Denmark,Oxford/AstraZeneca,154804,8206987,0.018862464
31,Denmark,Pfizer/BioNTech,6861255,8206987,0.836026059
32,Estonia,Johnson&Johnson,45552,1276410,0.035687593
33,Estonia,Moderna,127015,1276410,0.099509562
34,Estonia,Oxford/AstraZeneca,236465,1276410,0.185257872
35,Estonia,Pfizer/BioNTech,867378,1276410,0.679544974
43,Finland,Moderna,723324,6829702,0.105908574
44,Finland,Oxford/AstraZeneca,552901,6829702,0.080955362
45,Finland,Pfizer/BioNTech,5553477,6829702,0.813136064
46,France,Johnson&Johnson,1027066,90854758,0.011304482
47,France,Moderna,9564490,90854758,0.105272307
48,France,Oxford/AstraZeneca,7782937,90854758,0.085663505
49,France,Pfizer/BioNTech,72480265,90854758,0.797759706
50,Germany,Johnson&Johnson,2970809,103981687,0.028570502
51,Germany,Moderna,9504294,103981687,0.091403537
52,Germany,Oxford/AstraZeneca,12670791,103981687,0.121855986
53,Germany,Pfizer/BioNTech,78835793,103981687,0.758169975
54,Hong Kong,Pfizer/BioNTech,5150240,8115518,0.634616299
55,Hong Kong,Sinovac,2965278,8115518,0.365383701
56,Hungary,Johnson&Johnson,143119,10626157,0.013468557
57,Hungary,Moderna,682612,10626157,0.06423884
