location,people_fully_vaccinated_per_hundred
Afghanistan,1.08
Albania,26.49
Algeria,9.36
Andorra,54.08
Angola,2.9
Anguilla,60.07
Antigua and Barbuda,37.29
Argentina,46.79
Armenia,4.85
Aruba,69.51
Australia,41.24
Austria,59.6
Azerbaijan,35.57
Bahamas,17.67
Bahrain,63.56
Bangladesh,9.7
Barbados,35.4
Belarus,16.01
Belgium,72.01
Belize,28.44
Benin,0.17
Bermuda,68.96
Bhutan,63.38
Bolivia,26.06
Bonaire Sint Eustatius and Saba,63.29
Bosnia and Herzegovina,13.06
Botswana,9.45
Brazil,40.69
British Virgin Islands,45.44
Brunei,39.37
Bulgaria,18.98
Burkina Faso,0.78
Burundi,
Cambodia,64.23
Cameroon,0.31
Canada,70.33
Cape Verde,21.33
Cayman Islands,82.54
Central African Republic,0.2
Chad,0.15
Chile,73.37
China,70.78
Colombia,32.04
Comoros,18.24
Congo,2.02
Cook Islands,62.83
Costa Rica,38.99
Cote d'Ivoire,1.01
Croatia,41.49
Cuba,43.41
Curacao,54.05
Cyprus,61.68
Czechia,55.37
Democratic Republic of Congo,0.04
Denmark,75
Djibouti,2.6
Dominica,29.11
Dominican Republic,44.42
Ecuador,55.05
Egypt,4.89
El Salvador,50.76
Equatorial Guinea,11.21
Eritrea,
Estonia,45.62
Eswatini,17.03
Ethiopia,0.64
Faeroe Islands,73.39
Falkland Islands,50.31
Fiji,42.9
Finland,61.23
France,64.96
French Polynesia,46.69
Gabon,3.36
Gambia,6.67
Georgia,19.54
Germany,63.46
Ghana,2.39
Gibraltar,117.46
Greece,58.4
Greenland,64.41
Grenada,18.43
Guatemala,12.51
Guernsey,20.31
Guinea,3.97
Guinea-Bissau,0.37
Guyana,23.01
Haiti,0.16
Honduras,19.76
Hong Kong,54.51
Hungary,58.44
Iceland,80.23
India,16.09
Indonesia,17.46
International,
Iran,16.42
Iraq,6.04
Ireland,73.55
Isle of Man,74.75
Israel,63.9
Italy,67.15
Jamaica,7.42
Japan,57.51
Jersey,73.11
Jordan,31.58
Kazakhstan,33.66
Kenya,1.62
Kiribati,5.69
Kosovo,26.05
Kuwait,21.33
Kyrgyzstan,9.03
Laos,25.87
Latvia,44.51
Lebanon,18.65
Lesotho,11.06
Liberia,0.53
Libya,2.4
Liechtenstein,59.75
Lithuania,60.18
Luxembourg,62.94
Macao,46.06
Madagascar,0.65
Malawi,2.49
Malaysia,59.9
Maldives,61.79
Mali,0.41
Malta,81.64
Marshall Islands,
Mauritania,0.45
Mauritius,61.86
Mexico,34.17
Micronesia,
Moldova,19.16
Monaco,58.98
Mongolia,63.87
Montenegro,33.28
Montserrat,27.79
Morocco,48.05
Mozambique,5.41
Myanmar,6.33
Namibia,6.15
Nauru,66.69
Nepal,20.34
Netherlands,63.83
New Caledonia,27.57
New Zealand,37.16
Nicaragua,4.27
Niger,0.35
Nigeria,0.84
Niue,71.25
North Macedonia,34.29
Northern Cyprus,37.28
Norway,66.13
Oman,34.96
Pakistan,11.32
Palau,
Palestine,12.53
Panama,50.47
Papua New Guinea,0.44
Paraguay,25.85
Peru,29.96
Philippines,18.29
Pitcairn,100
Poland,51.26
Portugal,84.88
Qatar,75.7
Romania,27.85
Russia,28.58
Rwanda,10.85
Saint Helena,57.93
Saint Kitts and Nevis,40.94
Saint Lucia,16.79
Saint Vincent and the Grenadines,11.77
Samoa,25.12
San Marino,71.81
Sao Tome and Principe,8.14
Saudi Arabia,51.99
Senegal,3.29
Serbia,42.39
Seychelles,71.87
Sierra Leone,0.49
Singapore,76.57
Sint Maarten,54.09
Slovakia,41.14
Slovenia,47.57
Solomon Islands,3.29
Somalia,1.11
South Africa,13.98
South Korea,45.29
South Sudan,0.25
Spain,77.73
Sri Lanka,53.93
Sudan,1.3
Suriname,28.28
Sweden,63.79
Switzerland,54.23
Syria,1.36
Taiwan,9.02
Tajikistan,16.05
Tanzania,0.57
Thailand,22.73
Timor,18.7
Togo,4.57
Tokelau,
Tonga,25.74
Trinidad and Tobago,34.12
Tunisia,28.64
Turkey,51.22
Turkmenistan,0.16
Turks and Caicos Islands,63.55
Tuvalu,39.01
Uganda,0.88
Ukraine,12.56
United Arab Emirates,81.77
United Kingdom,65.59
United States,54.61
Uruguay,73.53
Uzbekistan,10.9
Vanuatu,4.56
Vatican,
Venezuela,18.29
Vietnam,8.09
Wallis and Futuna,45.21
Yemen,0.05
Zambia,2.02
Zimbabwe,14.57
