location,continent,people_fully_vaccinated,people_fully_vaccinated_per_hundred
Afghanistan,Asia,430744,1.08
Albania,Europe,760960,26.49
Algeria,Africa,4174623,9.36
Andorra,Europe,41831,54.08
Angola,Africa,983587,2.9
Anguilla,North America,9086,60.07
Antigua and Barbuda,North America,36816,37.29
Argentina,South America,21338286,46.79
Armenia,Asia,143840,4.85
Aruba,North America,74511,69.51
Australia,Oceania,10634837,41.24
Austria,Europe,5389744,59.6
Azerbaijan,Asia,3636195,35.57
Bahamas,North America,70128,17.67
Bahrain,Asia,1111146,63.56
Bangladesh,Asia,16123538,9.7
Barbados,North America,101857,35.4
Belarus,Europe,1512121,16.01
Belgium,Europe,8376853,72.01
Belize,North America,115175,28.44
Benin,Africa,21405,0.17
Bermuda,North America,42821,68.96
Bhutan,Asia,494279,63.38
Bolivia,South America,3083818,26.06
Bonaire,North America,16736,63.29
Bosnia and Herz.,Europe,426082,13.06
Botswana,Africa,226606,9.45
Brazil,South America,87063618,40.69
British Virgin Islands,North America,13824,45.44
Brunei,Asia,173829,39.37
Bulgaria,Europe,1309135,18.98
Burkina Faso,Africa,168141,0.78
Burundi,Africa,,
Cambodia,Asia,10884162,64.23
Cameroon,Africa,83202,0.31
Canada,North America,26773018,70.33
Cape Verde,Africa,119839,21.33
Cayman Islands,North America,54890,82.54
Central African Rep.,Africa,9901,0.2
Chad,Africa,24839,0.15
Chile,South America,14097031,73.37
China,Asia,1022207000,70.78
Colombia,South America,16423702,32.04
Comoros,Africa,162098,18.24
Congo,Africa,114344,2.02
Cook Islands,Oceania,11040,62.83
Costa Rica,North America,2003946,38.99
Côte d'Ivoire,Africa,273400,1.01
Croatia,Europe,1693549,41.49
Cuba,North America,4913404,43.41
Curaçao,North America,89069,54.05
Cyprus,Europe,547741,61.68
Czechia,Europe,5938389,55.37
Dem. Rep. Congo,Africa,37532,0.04
Denmark,Europe,4360115,75
Djibouti,Africa,26087,2.6
Dominica,North America,21009,29.11
Dominican Rep.,North America,4866030,44.42
Ecuador,South America,9847355,55.05
Egypt,Africa,5099465,4.89
El Salvador,North America,3308736,50.76
Equatorial Guinea,Africa,162602,11.21
Eritrea,Africa,,
Estonia,Europe,604587,45.62
Eswatini,Africa,199621,17.03
Ethiopia,Africa,758344,0.64
Faroe Islands,Europe,35998,73.39
Falkland Is.,South America,1775,50.31
Fiji,Oceania,387320,42.9
Finland,Europe,3397201,61.23
France,Europe,43892734,64.96
French Polynesia,Oceania,131903,46.69
Gabon,Africa,76508,3.36
Gambia,Africa,165785,6.67
Georgia,Asia,777621,19.54
Germany,Europe,53244325,63.46
Ghana,Africa,758160,2.39
Greece,Europe,6056118,58.4
Greenland,North America,36626,64.41
Grenada,North America,20827,18.43
Guatemala,North America,2283385,12.51
Guernsey,Europe,13618,20.31
Guinea,Africa,535893,3.97
Guinea-Bissau,Africa,7484,0.37
Guyana,South America,181862,23.01
Haiti,North America,18987,0.16
Honduras,North America,1988868,19.76
Hong Kong,Asia,4116748,54.51
Hungary,Europe,5630587,58.44
Iceland,Europe,275493,80.23
India,Asia,224190090,16.09
Indonesia,Asia,48262870,17.46
Iran,Asia,13961491,16.42
Iraq,Asia,2486604,6.04
Ireland,Europe,3664755,73.55
Isle of Man,Europe,63841,74.75
Israel,Asia,5617090,63.9
Italy,Europe,40538643,67.15
Jamaica,North America,220722,7.42
Japan,Asia,72493929,57.51
Jersey,Europe,73893,73.11
Jordan,Asia,3242480,31.58
Kazakhstan,Asia,6393799,33.66
Kenya,Africa,889083,1.62
Kiribati,Oceania,6903,5.69
Kosovo,Europe,503498,26.05
Kuwait,Asia,923307,21.33
Kyrgyzstan,Asia,598510,9.03
Laos,Asia,1909360,25.87
Latvia,Europe,830904,44.51
Lebanon,Asia,1262697,18.65
Lesotho,Africa,238727,11.06
Liberia,Africa,27392,0.53
Libya,Africa,166952,2.4
Liechtenstein,Europe,22855,59.75
Lithuania,Europe,1618887,60.18
Luxembourg,Europe,399522,62.94
Macao,Asia,303260,46.06
Madagascar,Africa,184632,0.65
Malawi,Africa,489199,2.49
Malaysia,Asia,19633681,59.9
Maldives,Asia,335926,61.79
Mali,Africa,86477,0.41
Malta,Europe,420111,81.64
Marshall Islands,Oceania,,
Mauritania,Africa,21545,0.45
Mauritius,Africa,787794,61.86
Mexico,North America,44511000,34.17
Micronesia,Oceania,,
Moldova,Europe,770910,19.16
Monaco,Europe,23308,58.98
Mongolia,Asia,2126575,63.87
Montenegro,Europe,209009,33.28
Montserrat,North America,1384,27.79
Morocco,Africa,17943587,48.05
Mozambique,Africa,1740693,5.41
Myanmar,Asia,3471251,6.33
Namibia,Africa,159233,6.15
Nauru,Oceania,7251,66.69
Nepal,Asia,6036401,20.34
Netherlands,Europe,10962160,63.83
New Caledonia,Oceania,79462,27.57
New Zealand,Oceania,1806110,37.16
Nicaragua,North America,286178,4.27
Niger,Africa,87492,0.35
